wave,inten,std
3081.023,0.121,3.105
3085.898,12.356,3.095
3090.771,10.673,3.192
3095.643,4.451,3.116
3100.513,15.656,3.100
3105.382,15.958,3.175
3110.250,8.312,3.211
3115.117,0.326,3.138
3119.982,10.507,3.165
3124.845,11.990,3.283
3129.708,-3.815,3.072
3134.569,6.340,3.133
3139.429,11.780,3.164
3144.287,6.323,3.080
3149.144,10.677,3.203
3154.000,27.701,3.468
3158.854,363.360,6.813
3163.707,54.195,3.909
3168.559,17.153,3.208
3173.409,4.559,3.146
3178.258,9.848,3.181
3183.106,4.568,3.180
3187.952,8.031,3.288
3192.797,-2.035,3.216
3197.641,-5.710,3.184
3202.483,6.604,3.220
3207.324,20.811,3.234
3212.164,14.467,3.178
3217.003,10.466,3.254
3221.840,9.462,3.141
3226.676,4.673,3.100
3231.510,4.292,3.109
3236.343,3.295,3.156
3241.175,8.797,3.208
3246.006,4.618,3.197
3250.835,6.973,3.176
3255.663,2.338,3.143
3260.490,8.433,3.171
3265.315,8.230,3.206
3270.140,7.880,3.179
3274.962,10.649,3.212
3279.784,-3.638,3.109
3284.604,15.058,3.222
3289.423,10.250,3.203
3294.241,-3.380,3.093
3299.057,11.228,3.243
3303.873,15.781,3.148
3308.686,13.731,3.153
3313.499,12.136,3.259
3318.310,1.925,3.049
3323.120,-7.221,3.049
3327.929,9.506,3.182
3332.737,7.181,3.149
3337.543,10.482,3.168
3342.348,5.881,3.229
3347.151,16.629,3.235
3351.954,-1.759,3.095
3356.755,8.257,3.072
3361.555,11.485,3.143
3366.354,5.433,3.154
3371.151,16.052,3.245
3375.947,1.248,3.093
3380.742,-2.674,3.085
3385.536,9.423,3.260
3390.328,14.405,3.168
3395.119,15.732,3.271
3399.909,9.026,3.135
3404.698,17.527,3.295
3409.485,20.125,3.355
3414.271,13.379,3.228
3419.056,18.740,3.313
3423.840,8.604,3.182
3428.622,9.248,3.245
3433.404,5.147,3.295
3438.184,16.088,3.409
3442.962,12.595,3.342
3447.740,20.724,3.376
3452.516,16.848,3.447
3457.291,17.761,3.373
3462.065,28.747,3.340
3466.838,17.154,3.254
3471.609,22.734,3.389
3476.380,26.589,3.406
3481.149,28.688,3.520
3485.916,19.986,3.504
3490.683,32.563,3.559
3495.448,37.363,3.609
3500.213,39.267,3.686
3504.976,50.015,3.740
3509.737,43.391,3.658
3514.498,49.682,3.743
3519.257,50.866,3.787
3524.015,47.486,3.784
3528.772,65.091,3.944
3533.528,47.794,3.806
3538.283,75.221,4.026
3543.036,69.682,4.045
3547.788,66.214,4.043
3552.539,64.961,4.069
3557.289,64.121,4.063
3562.038,81.796,4.269
3566.785,98.455,4.360
3571.532,99.003,4.344
3576.277,107.804,4.482
3581.021,113.099,4.615
3585.763,122.196,4.660
3590.505,128.362,4.752
3595.245,145.869,4.850
3599.985,151.267,4.955
3604.723,141.991,4.968
3609.460,163.597,5.074
3614.195,187.922,5.354
3618.930,191.496,5.424
3623.663,196.856,5.462
3628.396,219.053,5.652
3633.127,243.778,5.823
3637.857,261.023,6.017
3642.586,279.632,6.172
3647.313,301.050,6.330
3652.040,300.865,6.339
3656.765,344.630,6.585
3661.489,353.527,6.724
3666.212,399.828,7.030
3670.934,421.309,7.245
3675.655,480.097,7.608
3680.375,493.264,7.663
3685.093,527.976,7.854
3689.810,567.288,8.155
3694.527,630.631,8.506
3699.242,671.693,8.730
3703.956,698.007,8.846
3708.669,779.023,9.326
3713.380,854.322,9.729
3718.091,956.848,10.242
3722.800,950.146,10.284
3727.509,976.592,10.344
3732.216,990.284,10.440
3736.922,1071.667,10.817
3741.627,1230.446,11.524
3746.331,1355.042,12.082
3751.034,1481.296,12.558
3755.735,1540.565,12.807
3760.436,1576.095,12.979
3765.135,1615.461,13.109
3769.834,1581.385,13.003
3774.531,1698.590,13.384
3779.227,1750.867,13.633
3783.922,1897.108,14.113
3788.616,2096.709,14.851
3793.309,2192.611,15.144
3798.001,2395.575,15.829
3802.691,2570.561,16.367
3807.381,2659.316,16.620
3812.070,2806.917,17.062
3816.757,2908.154,17.377
3821.443,2800.700,17.039
3826.128,2770.156,16.924
3830.813,2743.894,16.893
3835.496,2883.201,17.276
3840.178,3033.314,17.755
3844.859,3332.916,18.572
3849.538,3453.032,18.888
3854.217,3737.160,19.599
3858.895,3839.503,19.873
3863.572,4098.267,20.506
3868.247,4304.259,21.004
3872.922,4551.635,21.602
3877.595,4719.755,21.976
3882.267,4928.176,22.443
3886.939,4935.402,22.465
3891.609,5137.746,22.937
3896.278,5214.041,23.060
3900.946,5224.816,23.097
3905.614,5086.225,22.806
3910.280,5029.319,22.649
3914.945,4850.476,22.283
3919.609,4952.114,22.495
3924.271,5077.480,22.769
3928.933,5359.531,23.391
3933.594,5543.483,23.785
3938.254,5752.283,24.238
