index,wave,mag,width
212,6692.0,5.374,16.0
213,6708.0,5.376,16.0
214,6724.0,5.38,16.0
215,6740.0,5.383,16.0
216,6756.0,5.391,16.0
217,6772.0,5.394,16.0
218,6788.0,5.398,16.0
219,6804.0,5.402,16.0
220,6820.0,5.407,16.0
221,6836.0,5.41,16.0
222,6852.0,5.427,16.0
223,6868.0,5.566,16.0
224,6884.0,5.573,16.0
225,6900.0,5.535,16.0
226,6916.0,5.485,16.0
227,6932.0,5.461,16.0
228,6948.0,5.454,16.0
229,6964.0,5.448,16.0
230,6980.0,5.448,16.0
231,6996.0,5.456,16.0
232,7012.0,5.459,16.0
233,7028.0,5.463,16.0
234,7044.0,5.463,16.0
235,7060.0,5.468,16.0
236,7076.0,5.469,16.0
237,7092.0,5.47,16.0
238,7108.0,5.475,16.0
239,7124.0,5.478,16.0
240,7140.0,5.483,16.0
241,7156.0,5.495,16.0
242,7172.0,5.53,16.0
243,7188.0,5.565,16.0
244,7204.0,5.552,16.0
245,7220.0,5.522,16.0
246,7236.0,5.552,16.0
247,7252.0,5.554,16.0
248,7268.0,5.552,16.0
249,7284.0,5.551,16.0
250,7300.0,5.548,16.0
251,7316.0,5.542,16.0
252,7332.0,5.532,16.0
253,7348.0,5.533,16.0
254,7364.0,5.533,16.0
255,7380.0,5.536,16.0
256,7396.0,5.535,16.0
257,7412.0,5.539,16.0
258,7428.0,5.542,16.0
259,7444.0,5.544,16.0
260,7460.0,5.546,16.0
261,7476.0,5.552,16.0
262,7492.0,5.553,16.0
263,7508.0,5.555,16.0
264,7524.0,5.559,16.0
265,7540.0,5.563,16.0
266,7556.0,5.565,16.0
267,7572.0,5.571,16.0
268,7588.0,5.736,16.0
269,7604.0,6.493,16.0
270,7620.0,6.214,16.0
271,7636.0,6.173,16.0
272,7652.0,5.91,16.0
273,7668.0,5.712,16.0
274,7684.0,5.63,16.0
275,7700.0,5.603,16.0
276,7716.0,5.595,16.0
277,7732.0,5.597,16.0
278,7748.0,5.599,16.0
279,7764.0,5.61,16.0
280,7780.0,5.621,16.0
281,7796.0,5.608,16.0
282,7812.0,5.61,16.0
283,7828.0,5.614,16.0
284,7844.0,5.618,16.0
285,7860.0,5.619,16.0
286,7876.0,5.626,16.0
287,7892.0,5.633,16.0
288,7908.0,5.634,16.0
289,7924.0,5.634,16.0
290,7940.0,5.637,16.0
291,7956.0,5.642,16.0
292,7972.0,5.642,16.0
293,7988.0,5.644,16.0
294,8004.0,5.65,16.0
295,8020.0,5.652,16.0
296,8036.0,5.656,16.0
297,8052.0,5.656,16.0
298,8068.0,5.658,16.0
299,8084.0,5.663,16.0
300,8100.0,5.667,16.0
301,8116.0,5.675,16.0
302,8132.0,5.699,16.0
303,8148.0,5.726,16.0
304,8164.0,5.752,16.0
305,8180.0,5.747,16.0
