wave,inten,std
3061.511,2.757,0.555
3066.391,0.062,0.543
3071.270,-3.354,0.549
3076.147,1.055,0.568
3081.023,2.568,0.562
3085.898,1.685,0.573
3090.771,-0.982,0.528
3095.643,0.468,0.553
3100.513,0.218,0.548
3105.382,-0.761,0.557
3110.250,1.383,0.541
3115.117,0.170,0.567
3119.982,6.266,0.591
3124.845,3.245,0.610
3129.708,3.808,0.578
3134.569,1.754,0.552
3139.429,2.827,0.555
3144.287,-0.164,0.582
3149.144,4.179,0.577
3154.000,0.808,0.543
3158.854,0.498,0.548
3163.707,2.024,0.577
3168.559,1.114,0.557
3173.409,-1.973,0.533
3178.258,0.058,0.574
3183.106,2.069,0.551
3187.952,1.057,0.540
3192.797,-1.093,0.539
3197.641,-1.272,0.551
3202.483,-3.194,0.508
3207.324,0.739,0.553
3212.164,-1.045,0.552
3217.003,-4.219,0.530
3221.840,2.111,0.585
3226.676,-1.332,0.552
3231.510,-0.181,0.556
3236.343,-0.282,0.544
3241.175,0.363,0.550
3246.006,1.905,0.553
3250.835,2.125,0.567
3255.663,-1.717,0.571
3260.490,-1.703,0.558
3265.315,0.943,0.573
3270.140,0.027,0.574
3274.962,-0.540,0.547
3279.784,-1.352,0.528
3284.604,1.389,0.562
3289.423,0.402,0.542
3294.241,-0.105,0.544
3299.057,0.201,0.553
3303.873,1.152,0.554
3308.686,1.298,0.570
3313.499,-0.526,0.549
3318.310,-0.486,0.546
3323.120,-0.924,0.548
3327.929,1.265,0.566
3332.737,-2.831,0.562
3337.543,-4.004,0.507
3342.348,-1.637,0.532
3347.151,-2.387,0.551
3351.954,-1.758,0.546
3356.755,0.725,0.544
3361.555,1.003,0.544
3366.354,-0.731,0.559
3371.151,-1.272,0.544
3375.947,0.182,0.553
3380.742,-2.381,0.537
3385.536,1.242,0.580
3390.328,-1.123,0.552
3395.119,-1.529,0.534
3399.909,1.459,0.555
3404.698,-0.256,0.567
3409.485,-0.582,0.536
3414.271,1.738,0.570
3419.056,-0.113,0.546
3423.840,0.667,0.543
3428.622,0.127,0.573
3433.404,-0.399,0.527
3438.184,1.520,0.546
3442.962,-2.715,0.521
3447.740,4.440,0.569
3452.516,0.340,0.574
3457.291,1.945,0.567
3462.065,3.090,0.568
3466.838,-1.589,0.533
3471.609,-3.004,0.545
3476.380,0.698,0.543
3481.149,-0.994,0.584
3485.916,-3.965,0.568
3490.683,1.468,0.574
3495.448,1.557,0.593
3500.213,-0.770,0.575
3504.976,-0.611,0.548
3509.737,-1.890,0.572
3514.498,1.099,0.574
3519.257,1.667,0.580
3524.015,0.215,0.570
3528.772,1.727,0.581
3533.528,2.061,0.586
3538.283,6.748,0.618
3543.036,0.366,0.574
3547.788,1.595,0.565
3552.539,-0.799,0.565
3557.289,0.044,0.565
3562.038,1.270,0.575
3566.785,4.220,0.590
3571.532,1.116,0.582
3576.277,-0.805,0.586
3581.021,6.032,0.607
3585.763,-0.141,0.577
3590.505,-0.839,0.573
3595.245,-0.891,0.601
3599.985,4.176,0.604
3604.723,-0.326,0.584
3609.460,0.727,0.583
3614.195,0.981,0.585
3618.930,1.859,0.593
3623.663,4.083,0.611
3628.396,5.130,0.605
3633.127,0.543,0.615
3637.857,1.090,0.584
3642.586,0.504,0.616
3647.313,2.841,0.609
3652.040,3.418,0.625
3656.765,7.004,0.631
3661.489,7.981,0.645
3666.212,5.369,0.635
3670.934,4.910,0.636
3675.655,6.011,0.633
3680.375,4.091,0.639
3685.093,5.283,0.638
3689.810,5.536,0.640
3694.527,3.122,0.637
3699.242,6.959,0.658
3703.956,3.357,0.647
3708.669,5.117,0.642
3713.380,8.808,0.673
3718.091,11.457,0.686
3722.800,10.390,0.674
3727.509,8.618,0.692
3732.216,11.456,0.681
3736.922,12.844,0.707
3741.627,11.457,0.706
3746.331,5.356,0.684
3751.034,10.252,0.701
3755.735,10.641,0.720
3760.436,11.365,0.724
3765.135,13.102,0.751
3769.834,17.648,0.768
3774.531,13.886,0.749
3779.227,14.442,0.765
3783.922,15.504,0.770
3788.616,15.903,0.756
3793.309,19.024,0.810
3798.001,26.832,0.892
3802.691,32.085,0.920
3807.381,41.270,1.004
3812.070,42.663,1.020
3816.757,42.396,1.040
3821.443,42.229,1.042
3826.128,42.521,1.031
3830.813,43.409,1.013
3835.496,42.105,1.019
3840.178,39.415,0.990
3844.859,33.665,0.937
3849.538,29.781,0.896
3854.217,28.273,0.909
3858.895,26.434,0.856
3863.572,25.779,0.850
3868.247,24.591,0.867
3872.922,28.728,0.865
3877.595,24.011,0.875
3882.267,23.416,0.835
3886.939,26.481,0.893
3891.609,26.759,0.883
3896.278,32.726,0.918
3900.946,33.484,0.945
3905.614,44.766,1.028
3910.280,50.795,1.084
3914.945,55.820,1.123
3919.609,55.490,1.112
3924.271,54.144,1.117
3928.933,51.609,1.082
3933.594,51.815,1.092
3938.254,49.907,1.087
3942.913,50.625,1.088
3947.570,46.932,1.058
3952.227,44.205,1.034
3956.883,40.605,0.995
3961.537,38.719,1.001
3966.191,41.523,1.001
3970.843,40.265,1.023
3975.495,45.340,1.048
3980.145,41.869,1.037
3984.795,47.223,1.055
3989.443,47.100,1.071
3994.091,44.349,1.067
3998.737,46.652,1.090
4003.383,46.826,1.084
4008.027,48.727,1.109
4012.671,48.988,1.096
4017.313,49.376,1.103
4021.954,46.854,1.076
4026.595,49.910,1.105
4031.234,57.343,1.141
4035.872,53.526,1.138
4040.510,61.871,1.188
4045.146,69.473,1.258
4049.782,82.175,1.321
4054.416,92.567,1.381
4059.049,89.104,1.387
4063.682,95.243,1.400
4068.313,90.015,1.375
4072.944,89.810,1.375
4077.573,84.792,1.364
4082.201,83.582,1.332
4086.829,79.640,1.299
4091.455,73.738,1.281
4096.081,69.699,1.234
4100.705,61.009,1.198
4105.329,61.249,1.193
4109.952,60.833,1.182
4114.573,58.285,1.188
4119.194,63.263,1.216
4123.813,58.248,1.185
4128.432,56.871,1.190
4133.050,62.140,1.201
4137.667,66.712,1.206
4142.282,62.986,1.218
4146.897,62.302,1.210
4151.511,64.283,1.220
4156.124,62.168,1.212
4160.736,66.063,1.251
4165.347,66.590,1.237
4169.957,67.315,1.249
4174.566,62.116,1.223
4179.175,69.786,1.242
4183.782,66.787,1.254
4188.388,70.998,1.286
4192.994,67.062,1.273
4197.598,69.759,1.286
4202.202,66.086,1.277
4206.804,64.383,1.265
4211.406,70.573,1.313
4216.006,78.458,1.330
4220.606,67.660,1.311
4225.205,69.790,1.316
4229.803,71.920,1.306
4234.400,75.758,1.318
4238.996,76.679,1.361
4243.591,71.608,1.328
4248.185,75.349,1.345
4252.779,77.741,1.364
4257.371,79.857,1.368
4261.963,74.222,1.379
4266.553,79.062,1.389
4271.143,76.206,1.401
4275.732,77.168,1.398
4280.319,79.022,1.411
4284.906,84.815,1.461
4289.492,95.933,1.541
4294.077,126.411,1.719
4298.662,155.114,1.851
4303.245,179.049,1.968
4307.827,201.970,2.061
4312.409,216.249,2.142
4316.990,194.809,2.098
4321.569,201.590,2.145
4326.148,202.843,2.151
4330.726,200.960,2.187
4335.303,197.171,2.153
4339.880,161.944,2.029
4344.455,120.420,1.854
4349.029,108.655,1.793
4353.603,90.461,1.739
4358.176,93.783,1.751
4362.748,89.499,1.693
4367.319,86.735,1.691
4371.889,89.403,1.673
4376.458,88.251,1.675
4381.026,92.565,1.717
4385.594,81.982,1.708
4390.160,91.640,1.718
4394.726,90.813,1.744
